tokens,chunks,gate/token,final_fp32_rel_rms,final_bf16_rel_rms,probe_fp32_rel_rms,probe_bf16_rel_rms,bf16_max_abs
1024,64,-0.0001,2.197728953790903e-07,0.009183167672956242,2.900397093406972e-07,0.009139575374182567,0.002642869705458059
1024,64,-0.02,5.3718249192567734e-08,0.002400160332362779,2.1826989496058668e-07,0.0021652445487312312,9.731519870185418e-05
1024,64,-0.5,2.5220550050674428e-08,0.0016601574970957753,2.1356411097476212e-07,0.0018309267665959767,6.0848231576496326e-05
2048,128,-0.0001,3.1045682334335836e-07,0.01288641492038215,3.6901009858376656e-07,0.013033453045015854,0.003825411426167366
2048,128,-0.02,5.4464872521310944e-08,0.0024151845664256767,2.0841922635043326e-07,0.0025853577552175963,0.0001126383621586173
2048,128,-0.5,2.519561231046398e-08,0.0016573993380933642,2.1138349854511288e-07,0.0017852422328869287,5.6150721027607015e-05
8192,512,-0.0001,5.54380881929429e-07,0.022728440196252576,5.955872405168524e-07,0.023612238490752613,0.012656195285597194
8192,512,-0.02,5.5739712423357796e-08,0.0024735945787747672,1.9509635584162462e-07,0.002446374641531393,0.00010601854346634076
8192,512,-0.5,2.5031907994843286e-08,0.0016708603287401264,2.1534091093180352e-07,0.0016709396726119923,5.075687066319334e-05
