tokens,chunks,gate/token,seeds,final_fp32_rel_rms_mean,final_fp32_rel_rms_std,final_bf16_rel_rms_mean,final_bf16_rel_rms_std,probe_fp32_rel_rms_mean,probe_fp32_rel_rms_std,probe_bf16_rel_rms_mean,probe_bf16_rel_rms_std,bf16_max_abs_mean,bf16_max_abs_std
1024,64,-0.0001,3,2.1946937772354791e-07,2.9590925295273393e-09,0.009312225241157745,8.220764197352333e-05,3.0422020454496803e-07,1.5356859010772434e-08,0.009404517687109324,0.00020780410613126813,0.0024453052500539147,0.00017688701409441772
1024,64,-0.02,3,5.3429014520430436e-08,2.28364506043142e-10,0.002426607948048005,9.922528602803426e-06,2.0724533615457568e-07,8.367334310476473e-09,0.0023932437778780256,0.00010197401164230787,0.00011481658055447624,2.399963287329254e-05
1024,64,-0.5,3,2.5218526870164504e-08,5.608232462000561e-11,0.0016545586913655635,3.313252407490738e-06,2.0214487549965223e-07,3.714526465247819e-09,0.0016277975057729357,4.5881429759791275e-05,5.715902128269543e-05,4.09776492401577e-06
2048,128,-0.0001,3,3.053803948039401e-07,4.206921588427628e-09,0.012780843002784948,0.00010011506228377596,3.7988176371805844e-07,8.189293007887935e-09,0.012724901239498905,0.00024093566640068004,0.004460788130012157,0.0005290094129338929
2048,128,-0.02,3,5.470922763139812e-08,3.454347254240739e-10,0.0024301251572438755,1.0776144986733968e-05,2.1559088280764082e-07,7.3492848583368324e-09,0.00239430933910069,9.440363400036578e-05,0.00011553103530017918,9.190303194876537e-06
2048,128,-0.5,3,2.522322668855316e-08,8.993252129849055e-11,0.0016608265583706466,1.350897729704515e-05,2.01689814204664e-07,9.827866742312594e-09,0.0016046337698654037,0.00014060908513305632,5.988614506399296e-05,1.702390835620606e-06
8192,512,-0.0001,3,5.465458262443585e-07,1.504355127681009e-08,0.022975912265915582,0.00024669835973246474,5.881890917729197e-07,1.6676972721193364e-08,0.023094590931324616,0.00037327654593429833,0.012825519278053124,0.0016497229312317607
8192,512,-0.02,3,5.471686135024913e-08,1.3163320121352882e-09,0.002430125643420097,3.66104115727003e-05,2.1444663841763714e-07,1.156773394322607e-08,0.002524988429612023,0.00010903354149928175,0.00011164845145227378,8.6526574596692e-06
8192,512,-0.5,3,2.5238196758843513e-08,1.0418544570370119e-10,0.001660803649089539,6.3104180439708735e-06,2.1937353013440486e-07,1.1633399675948927e-08,0.0017069185165288186,0.00013552890617479072,5.862558465479992e-05,5.904414557026761e-07
